feature,importance
equity_to_total_liabilities,0.1898989898989899
cash_flow_ratio,0.15555555555555556
interest_coverage_ratio,0.12272727272727275
ebit_to_total_assets,0.07979797979797983
debt_to_equity,0.06060606060606066
gross_margin,0.054545454545454564
return_on_assets,0.051010101010101026
net_income_growth,0.04141414141414146
working_capital_to_total_assets,0.03535353535353536
current_ratio,0.03131313131313133
asset_turnover,0.0272727272727273
operating_margin,0.011111111111111146
inventory_turnover,-0.010101010101010091
retained_earnings_to_total_assets,-0.010606060606060582
revenue_to_total_assets,-0.015151515151515138
